Database,EndDate,NullDataPoints,RepeatedPoints,StartDate,SCN,Site,Station,Date,Direction,Lane,Speed,Headway,Occupancy,Vehicles,Motorbikes,Cars,Trailers,Rigids,HGVs,Buses
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:27:43,1,1,31,3068,0,1,215,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:33:43,1,1,0,0,0,0,133,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:37:42,1,1,32,8392,0,1,244,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 02:57:43,1,1,36,9679,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:03:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:07:42,1,1,33,16596,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:13:42,1,1,0,0,0,0,184,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:17:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:19:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:23:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:27:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:33:43,1,1,28,16918,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:37:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:41:43,1,1,32,4890,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:47:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:53:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 03:57:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:03:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:07:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:13:42,1,1,36,32767,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:17:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:19:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:23:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:25:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:27:43,1,1,22,2520,0,2,0,1,0,1,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:33:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:37:42,1,1,28,3931,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:43:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:47:43,1,1,34,6283,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:51:42,1,1,27,560,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 04:57:42,1,1,40,1454,0,3,1,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:03:43,1,1,22,1158,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:07:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:13:42,1,1,45,3498,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:17:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:19:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:23:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:25:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:27:43,1,1,34,2196,0,1,0,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:33:43,1,1,39,581,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:37:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:43:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:47:43,1,1,30,1778,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:53:43,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 05:57:42,1,1,29,2155,0,3,1,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:05:42,1,1,32,1483,0,2,0,2,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:07:42,1,1,33,16862,0,2,1,1,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:13:42,1,1,0,0,0,0,0,0,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:17:43,1,1,34,1333,0,5,0,5,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:23:43,1,1,33,342,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:25:43,1,1,33,342,0,6,0,6,0,0,0,0
FALSE,2023-02-01 00:00:00,TRUE,TRUE,2023-01-31 00:00:00,R1135D1L1,1135,1135,2023-01-31 06:27:43,1,1,39,852,0,3,2,1,0,0,0,0
